ID	Gene Symbol
AFFX-BioB-3_at	
AFFX-BioB-5_at	
AFFX-BioB-M_at	
AFFX-BioC-3_at	
AFFX-BioC-5_at	
AFFX-BioDn-3_at	
AFFX-BioDn-5_at	
AFFX-BkGr-GC03_at	
AFFX-BkGr-GC04_at	
AFFX-BkGr-GC05_at	
AFFX-BkGr-GC06_at	
AFFX-BkGr-GC07_at	
AFFX-BkGr-GC08_at	
AFFX-BkGr-GC09_at	
AFFX-BkGr-GC10_at	
AFFX-BkGr-GC11_at	
AFFX-BkGr-GC12_at	
AFFX-BkGr-GC13_at	
AFFX-BkGr-GC14_at	
AFFX-BkGr-GC15_at	
AFFX-BkGr-GC16_at	
AFFX-BkGr-GC17_at	
AFFX-BkGr-GC18_at	
AFFX-BkGr-GC19_at	
AFFX-BkGr-GC20_at	
AFFX-BkGr-GC21_at	
AFFX-BkGr-GC22_at	
AFFX-BkGr-GC23_at	
AFFX-BkGr-GC24_at	
AFFX-BkGr-GC25_at	
AFFX-CreX-3_at	
AFFX-CreX-5_at	
AFFX-DapX-3_at	
AFFX-DapX-5_at	
AFFX-DapX-M_at	
AFFX-HSAC07/X00351_3_at	
AFFX-HSAC07/X00351_5_at	
AFFX-HSAC07/X00351_M_at	
AFFX-hum_alu_at	
AFFX-HUMGAPDH/M33197_3_at	
AFFX-HUMGAPDH/M33197_5_at	
AFFX-HUMGAPDH/M33197_M_at	
AFFX-HUMISGF3A/M97935_3_at	
AFFX-HUMISGF3A/M97935_5_at	
AFFX-HUMISGF3A/M97935_MA_at	
AFFX-HUMISGF3A/M97935_MB_at	
AFFX-HUMRGE/M10098_3_at	
AFFX-HUMRGE/M10098_5_at	
AFFX-HUMRGE/M10098_M_at	
AFFX-LysX-3_at	
AFFX-LysX-5_at	
AFFX-LysX-M_at	
AFFX-M27830_3_at	
AFFX-M27830_5_at	
AFFX-M27830_M_at	
AFFX-PheX-3_at	
AFFX-PheX-5_at	
AFFX-PheX-M_at	
AFFX-r2-Bs-dap-3_at	
AFFX-r2-Bs-dap-5_at	
AFFX-r2-Bs-dap-M_at	
AFFX-r2-Bs-lys-3_at	
AFFX-r2-Bs-lys-5_at	
AFFX-r2-Bs-lys-M_at	
AFFX-r2-Bs-phe-3_at	
AFFX-r2-Bs-phe-5_at	
AFFX-r2-Bs-phe-M_at	
AFFX-r2-Bs-thr-3_s_at	
AFFX-r2-Bs-thr-5_s_at	
AFFX-r2-Bs-thr-M_s_at	
AFFX-r2-Ec-bioB-3_at	
AFFX-r2-Ec-bioB-5_at	
AFFX-r2-Ec-bioB-M_at	
AFFX-r2-Ec-bioC-3_at	
